track_id,danceability,energy,key_,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id,name,artist,album,duration_ms,popularity,explicit,url,track_id,user_id,rating,date
0DxPsBv6wrAkEm2q9mYNGQ,0.623,0.635,0,-10.016,1,0.0364,0.00905,0.0000518,0.295,0.552,118.033,NULL,4,0DxPsBv6wrAkEm2q9mYNGQ,"Pillow Talk",Cosmetics,Baby,204169,16,0,https://open.spotify.com/track/0DxPsBv6wrAkEm2q9mYNGQ,0DxPsBv6wrAkEm2q9mYNGQ,mixe9z16uy1hig6t9cv5e7eam,7,"2024-03-12 20:27:08"
0e0VwnPz0jVqov6z5SVVqr,0.223,0.868,2,-3.755,0,0.0363,0.00509,0.0000147,0.287,0.275,159.619,NULL,4,0e0VwnPz0jVqov6z5SVVqr,"Respite On The Spitalfields",Ghost,IMPERA,402760,58,0,https://open.spotify.com/track/0e0VwnPz0jVqov6z5SVVqr,0e0VwnPz0jVqov6z5SVVqr,31sk54n54vp7yoro5vkuuhi66gx4,9,"2024-03-12 20:27:08"
0eeZckhlyJgT3nrEDCXZNr,0.535,0.652,9,-10.195,0,0.0307,0.169,0.00000617,0.0673,0.15,116.403,NULL,4,0eeZckhlyJgT3nrEDCXZNr,"It Shouldn't Take Too Long","Cutting Crew",Broadcast,245560,26,0,https://open.spotify.com/track/0eeZckhlyJgT3nrEDCXZNr,0eeZckhlyJgT3nrEDCXZNr,1166187914,6,"2024-03-12 22:00:53"
0Eh2ldpUUjngMJ4lfhkCrN,0.46,0.882,11,-5.98,0,0.0301,0.0135,0.00000301,0.329,0.426,150,NULL,4,0Eh2ldpUUjngMJ4lfhkCrN,"I'm Good - Hardstyle","Son Of Zeus","I'm Good (Hardstyle)",164846,42,0,https://open.spotify.com/track/0Eh2ldpUUjngMJ4lfhkCrN,0Eh2ldpUUjngMJ4lfhkCrN,1168953320,4,"2024-03-12 20:27:08"
0eqH0ALoDQevq59YcQ53KE,0.926,0.916,10,-2.221,0,0.0929,0.35,0.00000617,0.0234,0.904,110.007,NULL,4,0eqH0ALoDQevq59YcQ53KE,"Hollaback Girl","Gwen Stefani","Love Angel Music Baby",199853,74,1,https://open.spotify.com/track/0eqH0ALoDQevq59YcQ53KE,0eqH0ALoDQevq59YcQ53KE,1166187914,7,"2024-03-12 22:03:00"
0fokoG1PTmfQr6HrBoKzo1,0.465,0.465,2,-7.792,1,0.0276,0.612,0.00639,0.223,0.242,140.001,NULL,4,0fokoG1PTmfQr6HrBoKzo1,"When You're Small",MGMT,"Little Dark Age",210880,43,0,https://open.spotify.com/track/0fokoG1PTmfQr6HrBoKzo1,0fokoG1PTmfQr6HrBoKzo1,31uqhjwtpiiaay5ripzqwrdjw7ga,1,"2024-03-12 20:27:08"
0gFax8CaebUNkbDa17rfad,0.536,0.979,0,-4.235,0,0.169,0.28,0.157,0.472,0.0891,89.971,NULL,4,0gFax8CaebUNkbDa17rfad,"Don't Speak Motherfucker","Paul Elstak","The Evolution of Hate",149306,34,0,https://open.spotify.com/track/0gFax8CaebUNkbDa17rfad,0gFax8CaebUNkbDa17rfad,1168953320,10,"2024-03-12 20:27:08"
0GGxVTb0UwDwdaKNjBdCn3,0.588,0.656,3,-6.373,1,0.0224,0.378,0.00227,0.042,0.746,79.701,NULL,4,0GGxVTb0UwDwdaKNjBdCn3,"Woman - Remastered 2010","John Lennon","Double Fantasy: Stripped Down",212933,73,0,https://open.spotify.com/track/0GGxVTb0UwDwdaKNjBdCn3,0GGxVTb0UwDwdaKNjBdCn3,1166187914,7,"2024-03-12 22:04:59"
0Gm2q2CWg92rNLv0M5kJl6,0.702,0.498,9,-13.355,1,0.0275,0.38,0.0000391,0.279,0.841,107.302,NULL,4,0Gm2q2CWg92rNLv0M5kJl6,"You Can't Make Love","Don Henley","Building The Perfect Beast",213733,40,0,https://open.spotify.com/track/0Gm2q2CWg92rNLv0M5kJl6,0Gm2q2CWg92rNLv0M5kJl6,1166187914,7,"2024-03-12 20:27:08"
0gUJlYlu4cV90iyV2gTUmr,0.55,0.731,7,-5.657,1,0.0425,0.251,0.516,0.158,0.281,122.022,NULL,4,0gUJlYlu4cV90iyV2gTUmr,"On Division St","Nation of Language","Introduction, Presence",194215,54,0,https://open.spotify.com/track/0gUJlYlu4cV90iyV2gTUmr,0gUJlYlu4cV90iyV2gTUmr,31uqhjwtpiiaay5ripzqwrdjw7ga,8,"2024-03-12 20:27:08"
0gyjqALKXPICWiV5j7Bddn,0.416,0.126,2,-20.798,0,0.0335,0.982,0.92,0.0977,0.224,59.527,NULL,4,0gyjqALKXPICWiV5j7Bddn,"Come on... Lucky!","The Three Queens","Come on... Lucky!",164859,51,0,https://open.spotify.com/track/0gyjqALKXPICWiV5j7Bddn,0gyjqALKXPICWiV5j7Bddn,1166187914,6,"2024-03-12 20:27:08"
0HAqq2GcQKyi3s87GuN7jU,0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008,NULL,4,0HAqq2GcQKyi3s87GuN7jU,Amoeba,Clairo,Sling,228922,73,0,https://open.spotify.com/track/0HAqq2GcQKyi3s87GuN7jU,0HAqq2GcQKyi3s87GuN7jU,1123823597,6,"2024-03-12 20:27:08"
0HAqq2GcQKyi3s87GuN7jU,0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008,NULL,4,0HAqq2GcQKyi3s87GuN7jU,Amoeba,Clairo,Sling,228922,73,0,https://open.spotify.com/track/0HAqq2GcQKyi3s87GuN7jU,0HAqq2GcQKyi3s87GuN7jU,mixe9z16uy1hig6t9cv5e7eam,7,"2024-03-12 20:27:08"
0hCB0YR03f6AmQaHbwWDe8,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,NULL,4,0hCB0YR03f6AmQaHbwWDe8,"Whole Lotta Love - 1990 Remaster","Led Zeppelin","Led Zeppelin II (1994 Remaster)",333893,77,0,https://open.spotify.com/track/0hCB0YR03f6AmQaHbwWDe8,0hCB0YR03f6AmQaHbwWDe8,1166187914,8,"2024-03-12 20:27:08"
0HdcHtQTDjRTZ5XhNmYgHQ,0.555,0.37,8,-10.485,0,0.0275,0.449,0.000708,0.105,0.234,160.503,NULL,3,0HdcHtQTDjRTZ5XhNmYgHQ,"No Title",Corbin,Mourn,226575,37,1,https://open.spotify.com/track/0HdcHtQTDjRTZ5XhNmYgHQ,0HdcHtQTDjRTZ5XhNmYgHQ,mixe9z16uy1hig6t9cv5e7eam,8,"2024-03-12 20:27:08"
0HzjKCZmFhwcO2vnnHpj9q,0.642,0.805,10,-5.675,1,0.0336,0.352,0.00000102,0.118,0.365,100.273,NULL,4,0HzjKCZmFhwcO2vnnHpj9q,Sara,Starship,"Knee Deep In The Hoopla",292800,62,0,https://open.spotify.com/track/0HzjKCZmFhwcO2vnnHpj9q,0HzjKCZmFhwcO2vnnHpj9q,1166187914,9,"2024-03-12 20:27:08"
0HZq47ubBTbuUUPGSueUOh,0.437,0.274,5,-9.041,1,0.0622,0.888,0,0.178,0.274,89.045,NULL,3,0HZq47ubBTbuUUPGSueUOh,"Any Way the Wind Blows","Eva Noblezada","Hadestown (Original Broadway Cast Recording)",225805,54,0,https://open.spotify.com/track/0HZq47ubBTbuUUPGSueUOh,0HZq47ubBTbuUUPGSueUOh,31t5phppukummusprveou63zmvmi,7,"2024-03-12 20:27:08"
0i0e7oFN86Jl0TTpF9zHtH,0.428,0.294,10,-14.382,1,0.0467,0.851,0.00853,0.367,0.461,118.273,NULL,4,0i0e7oFN86Jl0TTpF9zHtH,Feathers,Florist,Florist,212703,30,0,https://open.spotify.com/track/0i0e7oFN86Jl0TTpF9zHtH,0i0e7oFN86Jl0TTpF9zHtH,mixe9z16uy1hig6t9cv5e7eam,9,"2024-03-12 20:27:08"
0Ih55K62jZIbeTysGHJkW0,0.54,0.912,1,-5.678,1,0.0376,0.000108,0.00298,0.134,0.839,146.033,NULL,4,0Ih55K62jZIbeTysGHJkW0,"Little Girl (feat. Julian Casablancas)","Danger Mouse","Dark Night of The Soul",272933,45,1,https://open.spotify.com/track/0Ih55K62jZIbeTysGHJkW0,0Ih55K62jZIbeTysGHJkW0,31uqhjwtpiiaay5ripzqwrdjw7ga,5,"2024-03-12 20:27:08"
0Ii5vmLA0zBUp4AHhYA5Pt,0.704,0.802,11,-6.216,0,0.0991,0.197,0.000274,0.407,0.211,125.059,NULL,4,0Ii5vmLA0zBUp4AHhYA5Pt,"Share My Love","Ben Brown","Share My Love",185280,33,0,https://open.spotify.com/track/0Ii5vmLA0zBUp4AHhYA5Pt,0Ii5vmLA0zBUp4AHhYA5Pt,1168953320,7,"2024-03-12 20:27:08"
0IRt2072jUmbLFoZUSyNFW,0.617,0.421,2,-13.89,1,0.0291,0.669,0.00602,0.109,0.61,109.006,NULL,4,0IRt2072jUmbLFoZUSyNFW,Ba-Di-Da,"Fred Neil","Fred Neil",218000,24,0,https://open.spotify.com/track/0IRt2072jUmbLFoZUSyNFW,0IRt2072jUmbLFoZUSyNFW,mixe9z16uy1hig6t9cv5e7eam,8,"2024-03-12 20:27:08"
0JBQnLKfLXmlkquabLtAgd,0.418,0.835,0,-4.824,0,0.0449,0.00000233,0.766,0.289,0.549,104.986,NULL,4,0JBQnLKfLXmlkquabLtAgd,"Only for the Weak","In Flames",Clayman,294866,65,0,https://open.spotify.com/track/0JBQnLKfLXmlkquabLtAgd,0JBQnLKfLXmlkquabLtAgd,31sk54n54vp7yoro5vkuuhi66gx4,6,"2024-03-12 20:27:08"
0jih8MQUBapJF4PLtlcrkz,0.656,0.581,4,-7.654,1,0.0333,0.477,0,0.0868,0.581,95.072,NULL,4,0jih8MQUBapJF4PLtlcrkz,"Voel Jij Het Ook",Buitengewoon,Buitengewoon,233088,15,0,https://open.spotify.com/track/0jih8MQUBapJF4PLtlcrkz,0jih8MQUBapJF4PLtlcrkz,martijnvdw11,NULL,"2024-03-12 20:27:08"
0KMGxYKeUzK9wc5DZCt3HT,0.434,0.563,11,-6.784,1,0.0268,0.0197,0.000824,0.128,0.275,104.183,NULL,4,0KMGxYKeUzK9wc5DZCt3HT,"If You Leave Me Now",Chicago,"Chicago X",235373,78,0,https://open.spotify.com/track/0KMGxYKeUzK9wc5DZCt3HT,0KMGxYKeUzK9wc5DZCt3HT,1166187914,8,"2024-03-12 22:03:00"
0kqatfl1V116n4U2gKZQuV,0.757,0.905,5,-6.771,0,0.0338,0.00252,0.00117,0.0357,0.624,125.001,NULL,4,0kqatfl1V116n4U2gKZQuV,Free,"Ultra Naté","Free - The Strictly Collection",353360,59,0,https://open.spotify.com/track/0kqatfl1V116n4U2gKZQuV,0kqatfl1V116n4U2gKZQuV,martijnvdw11,NULL,"2024-03-12 20:27:08"
0KZodeWxqxd88F9wY1cqgs,0.54,0.688,1,-9.021,0,0.0331,0.0812,0,0.0857,0.564,120.981,NULL,4,0KZodeWxqxd88F9wY1cqgs,"My Sweet Lord (2014 Remaster)","George Harrison","All Things Must Pass (2014 Remaster)",281231,77,0,https://open.spotify.com/track/0KZodeWxqxd88F9wY1cqgs,0KZodeWxqxd88F9wY1cqgs,1166187914,5,"2024-03-12 20:27:08"
0l5TpsCL1ObiTEsHeWA0by,0.417,0.573,11,-7.33,1,0.0279,0.0801,0,0.0845,0.29,129.559,NULL,4,0l5TpsCL1ObiTEsHeWA0by,"Faithfully (2023 Remaster)",Journey,"Frontiers (2023 Remaster)",266946,71,0,https://open.spotify.com/track/0l5TpsCL1ObiTEsHeWA0by,0l5TpsCL1ObiTEsHeWA0by,1166187914,6,"2024-03-12 20:27:08"
0lT4tyKgJdessVgIAx0TXD,0.294,0.0773,6,-29.078,0,0.0542,0.996,0.878,0.0945,0.502,165.875,NULL,3,0lT4tyKgJdessVgIAx0TXD,"Lieder ohne Worte (Songs without Words), Book 6, Op. 67: No. 32 in F-Sharp Minor, Op. 67, No. 2","Felix Mendelssohn","Mendelssohn, Felix: Songs Without Words, Vol. 1",137000,52,0,https://open.spotify.com/track/0lT4tyKgJdessVgIAx0TXD,0lT4tyKgJdessVgIAx0TXD,1168953320,2,"2024-03-12 20:27:08"
0MeMVLlp7jgdxNiz2Sof34,0.489,0.853,4,-9.02,0,0.03,0.0536,0.128,0.142,0.374,115.039,NULL,4,0MeMVLlp7jgdxNiz2Sof34,"Not Here","The Embassy",E-Numbers,305146,15,0,https://open.spotify.com/track/0MeMVLlp7jgdxNiz2Sof34,0MeMVLlp7jgdxNiz2Sof34,mixe9z16uy1hig6t9cv5e7eam,NULL,"2024-03-12 20:27:08"
0mhC8M1F0bFimTwQq0GA0f,0.568,0.297,1,-16.677,0,0.0323,0.358,0.00022,0.0811,0.0398,92.885,NULL,4,0mhC8M1F0bFimTwQq0GA0f,"Mercy Street","Peter Gabriel","So (Remastered)",377920,48,0,https://open.spotify.com/track/0mhC8M1F0bFimTwQq0GA0f,0mhC8M1F0bFimTwQq0GA0f,1166187914,7,"2024-03-12 20:27:08"
0mmlatGb1lq2wjSulqyZAS,0.674,0.776,7,-9.87,0,0.0639,0.229,0.636,0.0804,0.484,159.982,NULL,3,0mmlatGb1lq2wjSulqyZAS,Balobi,Tonn3rr3,"It's a Bomb",461649,8,0,https://open.spotify.com/track/0mmlatGb1lq2wjSulqyZAS,0mmlatGb1lq2wjSulqyZAS,mixe9z16uy1hig6t9cv5e7eam,NULL,"2024-03-12 20:27:08"
0MYNeFsKpzBHwrJGfWZysV,0.68,0.53,11,-13.105,0,0.0889,0.417,0.011,0.0559,0.352,124.551,NULL,4,0MYNeFsKpzBHwrJGfWZysV,"Locomotive Breath","Jethro Tull","Aqualung (Special Edition)",266013,59,0,https://open.spotify.com/track/0MYNeFsKpzBHwrJGfWZysV,0MYNeFsKpzBHwrJGfWZysV,1166187914,6,"2024-03-12 20:27:08"
0nLiqZ6A27jJri2VCalIUs,0.553,0.362,4,-11.218,0,0.0263,0.0458,0.00000601,0.075,0.158,142.352,NULL,3,0nLiqZ6A27jJri2VCalIUs,"Nothing Else Matters",Metallica,Metallica,388266,81,0,https://open.spotify.com/track/0nLiqZ6A27jJri2VCalIUs,0nLiqZ6A27jJri2VCalIUs,31sk54n54vp7yoro5vkuuhi66gx4,9,"2024-03-12 20:27:08"
